date,domain,total_comments
2012-03-27,aliexpress,33
2012-03-31,aliexpress,0
2012-04-09,aliexpress,0
2012-04-15,aliexpress,11
2012-04-29,aliexpress,3
2012-05-15,aliexpress,3
2012-05-25,aliexpress,4
2012-06-12,aliexpress,0
2012-06-15,aliexpress,10
2012-06-26,aliexpress,17
2012-06-27,aliexpress,3
2012-06-29,aliexpress,7
2012-07-03,aliexpress,1
2012-07-04,aliexpress,1
2012-07-05,aliexpress,0
2012-07-06,aliexpress,3
2012-07-09,aliexpress,1
2012-07-10,aliexpress,0
2012-07-11,aliexpress,2
2012-07-12,aliexpress,1
2012-07-13,aliexpress,5
2012-07-16,aliexpress,4
2012-07-17,aliexpress,6
2012-07-18,aliexpress,5
2012-07-19,aliexpress,32
2012-07-20,aliexpress,24
2012-07-23,aliexpress,0
2012-08-03,aliexpress,33
2012-08-14,aliexpress,40
2012-08-16,aliexpress,69
2012-08-17,aliexpress,0
2012-08-21,aliexpress,184
2012-08-22,aliexpress,40
2012-08-23,aliexpress,24
2012-08-24,aliexpress,26
2012-08-27,aliexpress,33
2012-09-03,aliexpress,42
2012-09-04,aliexpress,28
2012-09-06,aliexpress,124
2012-09-25,aliexpress,121
2012-09-27,aliexpress,99
2012-10-08,aliexpress,231
2012-10-09,aliexpress,51
2012-10-15,aliexpress,10
2012-10-16,aliexpress,159
2012-10-22,aliexpress,40
2012-10-23,aliexpress,44
2012-10-30,aliexpress,59
2012-10-31,aliexpress,80
2012-11-05,aliexpress,14
2012-11-06,aliexpress,126
2012-11-07,aliexpress,40
2012-11-08,aliexpress,72
2012-11-09,aliexpress,68
2012-11-12,aliexpress,42
2012-11-14,aliexpress,40
2012-11-15,aliexpress,40
2012-11-16,aliexpress,90
2012-11-20,aliexpress,120
2012-11-21,aliexpress,40
2012-11-22,aliexpress,104
2012-11-26,aliexpress,597
2012-11-27,aliexpress,271
2012-11-28,aliexpress,119
2012-11-30,aliexpress,80
2012-12-04,aliexpress,50
2012-12-05,aliexpress,40
2012-12-06,aliexpress,120
2012-12-11,aliexpress,40
2012-12-13,aliexpress,107
2012-12-14,aliexpress,80
2012-12-17,aliexpress,40
2012-12-18,aliexpress,144
2012-12-19,aliexpress,80
2012-12-20,aliexpress,39
2012-12-21,aliexpress,40
2012-12-24,aliexpress,116
2012-12-25,aliexpress,40
2012-12-26,aliexpress,74
2012-12-27,aliexpress,121
2012-12-28,aliexpress,80
2013-01-04,aliexpress,40
2013-01-05,aliexpress,80
2013-01-09,aliexpress,120
2013-01-10,aliexpress,80
2013-01-15,aliexpress,120
2013-01-16,aliexpress,40
2013-01-18,aliexpress,138
2013-01-22,aliexpress,40
2013-01-24,aliexpress,80
2013-01-25,aliexpress,120
2013-01-28,aliexpress,80
2013-01-30,aliexpress,40
2013-01-31,aliexpress,40
2013-02-08,aliexpress,40
2013-02-16,aliexpress,40
2013-02-17,aliexpress,40
2013-02-18,aliexpress,194
2013-02-20,aliexpress,120
2013-02-21,aliexpress,40
2013-02-22,aliexpress,40
2013-02-25,aliexpress,40
2013-02-27,aliexpress,0
2013-02-28,aliexpress,40
2013-03-01,aliexpress,40
2013-03-06,aliexpress,75
2013-03-07,aliexpress,120
2013-03-11,aliexpress,40
2013-03-12,aliexpress,80
2013-03-14,aliexpress,119
2013-03-16,aliexpress,79
2013-03-18,aliexpress,80
2013-03-19,aliexpress,80
2013-03-20,aliexpress,120
2013-03-21,aliexpress,120
2013-03-22,aliexpress,158
2013-03-25,aliexpress,159
2013-03-26,aliexpress,570
2013-03-27,aliexpress,238
2013-03-29,aliexpress,80
2013-04-01,aliexpress,120
2013-04-02,aliexpress,39
2013-04-03,aliexpress,158
2013-04-07,aliexpress,40
2013-04-08,aliexpress,40
2013-04-09,aliexpress,118
2013-04-10,aliexpress,120
2013-04-11,aliexpress,40
2013-04-12,aliexpress,79
2013-04-15,aliexpress,40
2013-04-16,aliexpress,40
2013-04-20,aliexpress,40
2013-04-22,aliexpress,40
2013-04-23,aliexpress,40
2013-04-24,aliexpress,80
2013-04-26,aliexpress,40
